index;yr;city;pensiones
1;2018;Barcelona;1126
2;2019;Barcelona;1162
3;2018;Madrid;1301
4;2019;Madrid;1338
5;2018;Valencia;1011
6;2019;Valencia;1045
7;2018;Bilbao;1367
8;2019;Bilbao;1408
9;2018;Mallorca;1019
10;2019;Mallorca;1052
11;2018;Tenerife;1035
12;2019;Tenerife;1067
13;2018;Sevilla;998
14;2019;Sevilla;1031
