index;yr;city;pensiones
1;0;Barcelona;1126
2;1;Barcelona;1162
3;0;Madrid;1301
4;1;Madrid;1338
5;0;Valencia;1011
6;1;Valencia;1045
7;0;Bilbao;1367
8;1;Bilbao;1408
9;0;Mallorca;1019
10;1;Mallorca;1052
11;0;Tenerife;1035
12;1;Tenerife;1067
13;0;Sevilla;998
14;1;Sevilla;1031
